district,quarter,zone_type,zone_code,zone_name,business_type,monthly_sales,monthly_count,mon_sales,tue_sales,wed_sales,thu_sales,fri_sales,sat_sales,sun_sales,male_sales,female_sales,age_10s_sales,age_20s_sales,age_30s_sales,age_40s_sales,age_50s_sales,age_60plus_sales
마포구,20241,골목상권,3110542,마포구청역 7번,호프-간이주점,137646939,8983,13694535,15326653,16437314,23205384,19226601,28240579,21515873,70192613,56117612,160410,18063688,37022183,23783498,28928059,18352388
마포구,20241,골목상권,3110542,마포구청역 7번,커피-음료,231727651,35426,34157379,29282749,31984805,28067019,34584071,39171807,34479821,99839906,117627863,1671206,37985606,61779235,59644093,36412126,19975507
마포구,20241,골목상권,3110542,마포구청역 7번,일반교습학원,117321977,315,28956458,11071587,36654279,13810706,26828947,0,0,31998102,85323875,0,0,0,73643958,43678019,0
마포구,20241,골목상권,3110542,마포구청역 7번,예술학원,25951581,139,3593824,0,7187648,11389657,3780452,0,0,3780452,22171129,0,0,0,25951581,0,0
마포구,20241,골목상권,3110542,마포구청역 7번,일반의원,566074995,30197,105431138,114104985,45077323,103982411,114286540,83192598,0,279209776,286865219,0,34834452,105522862,95823422,133755406,196138853
마포구,20241,골목상권,3110542,마포구청역 7번,미용실,288236533,8343,28318903,30229630,30594093,36082116,38229469,74251706,50530616,154411300,120761959,692749,40544540,72742052,65895400,73956207,21342311
마포구,20241,골목상권,3110542,마포구청역 7번,네일숍,9247837,89,1259542,1220356,1757761,1119593,2211195,1679390,0,1976081,7271756,0,1119593,2547074,1953689,251908,3375573
마포구,20241,골목상권,3110542,마포구청역 7번,노래방,37998272,488,5074464,3526322,6507928,8004465,3950627,5888671,5045795,31867283,4410832,0,842877,3146243,8882792,15495974,7910229
마포구,20241,골목상권,3110542,마포구청역 7번,슈퍼마켓,14805620,1821,1123597,2526272,2872441,2287345,3421925,1745467,828573,10375075,4183898,0,702247,1705158,2259234,7335730,2556604
마포구,20241,골목상권,3110542,마포구청역 7번,편의점,424170617,62833,54316758,52158168,62835501,69383589,62767436,67781346,54927819,248848775,163355673,2296109,70034856,116809549,95294978,86598153,41170802
마포구,20241,골목상권,3110542,마포구청역 7번,반찬가게,58773829,3454,15899663,12842076,7528150,4187760,0,10213776,8102404,40425321,18348508,0,4936537,22565722,25533803,5737767,0
마포구,20241,골목상권,3110542,마포구청역 7번,의약품,368609243,39555,68359715,70384116,54251561,61736726,72816712,41060413,0,183759978,184849265,181939,23631999,54300430,62573869,96549908,131371098
마포구,20241,골목상권,3110542,마포구청역 7번,조명용품,28242434,1522,2271570,1831910,901863,10732183,8474704,4030204,0,12758557,8663531,0,0,3460903,5202629,10709634,2048921
마포구,20241,골목상권,3110542,마포구청역 7번,전자상거래업,37487190,31,0,0,8289421,28511384,0,686385,0,30887333,6599857,0,30464942,6335863,686385,0,0
마포구,20241,골목상권,3110545,마포구청역 1번,한식음식점,1460920873,46419,216697802,223140188,185880455,208908925,226397171,226461207,173435125,817951678,435502658,7151886,141341119,268990168,231574301,356722160,247674703
마포구,20241,골목상권,3110545,마포구청역 1번,중식음식점,33447220,1482,6366727,4680129,4921071,4475692,4293159,8710442,0,16946300,12280774,0,3190665,7593344,6841311,5811829,5789925
마포구,20241,골목상권,3110545,마포구청역 1번,일식음식점,331893304,10633,47919476,46722354,49818145,53922685,56992073,64210202,12308369,157884166,130969009,1059827,48747605,78418925,55326719,67645661,37654439
마포구,20241,골목상권,3110545,마포구청역 1번,제과점,139620938,16119,20953510,18771491,20592479,22329148,18072990,21050738,17850582,53030091,83741206,649983,20420192,32409539,32727273,31543412,19020897
마포구,20241,골목상권,3110545,마포구청역 1번,치킨전문점,375684980,13374,39345453,37079905,51002400,61999373,65932363,61553998,58771488,224472549,134965409,984811,61265493,78682974,79606338,97951949,40946394
마포구,20241,골목상권,3110545,마포구청역 1번,분식전문점,226050467,24794,34368827,34748076,34234467,41785721,34269544,29693389,16950443,105129568,109175387,1132504,34445749,58796974,52173388,46241020,21515321
마포구,20241,골목상권,3110545,마포구청역 1번,호프-간이주점,26885369,49,0,3114616,13143681,3114617,4086377,3426078,0,26885369,0,0,0,0,3239201,23646168,0
마포구,20241,골목상권,3110545,마포구청역 1번,커피-음료,431640934,81136,56169097,57675007,56735825,63907428,61574170,70076316,65503091,185746453,232958351,2845479,90781978,131866004,86888900,75034129,31288314
마포구,20241,골목상권,3110545,마포구청역 1번,당구장,39006456,1235,4016925,6275193,5022449,7185040,7947613,4911367,3647869,21618584,14063079,0,954550,687154,2326956,20009367,11703638
마포구,20241,골목상권,3110545,마포구청역 1번,스포츠클럽,141216400,487,26587467,24830249,32831495,26330483,8938889,11230913,10466904,63221006,75321367,0,39840421,67191223,10878334,15575637,5056758
마포구,20241,골목상권,3110545,마포구청역 1번,자동차수리,161330681,536,33930543,78586723,40003498,1675828,1765136,5368953,0,157390647,2427061,0,0,1975270,2285221,46092847,109464369
마포구,20241,골목상권,3110545,마포구청역 1번,미용실,71832044,1304,920112,11386393,9153205,12221204,14918284,8357690,14875156,26242332,45589712,0,5530418,32073470,14228697,16626885,3372574
마포구,20241,골목상권,3110545,마포구청역 1번,피부관리실,7364327,50,0,0,1373010,0,0,5991317,0,0,7364327,0,915340,5991317,457670,0,0
마포구,20241,골목상권,3110545,마포구청역 1번,세탁소,55939184,3063,7105958,8182724,11146323,8245564,7808521,13450094,0,21153461,34785723,0,9638147,21842560,11468129,7652699,5337649
마포구,20241,골목상권,3110545,마포구청역 1번,편의점,2286189822,289752,311153647,311212289,327448913,329800543,335808306,342143262,328622862,1002710967,1283478855,10212122,635489609,809442493,318801223,319271638,192972737
마포구,20241,골목상권,3110545,마포구청역 1번,화장품,611575447,2178,15972766,21539033,24322167,110357296,196283519,243100666,0,36301741,400299309,0,393038961,31340503,12221586,0,0
마포구,20241,골목상권,3110548,마포구청역 4번,한식음식점,1737672501,44016,232982709,238874490,239192734,231086939,269851615,284823443,240860571,931861663,567747329,1354565,117462650,292867562,292808829,418414706,376700683
마포구,20241,골목상권,3110548,마포구청역 4번,치킨전문점,60000000,1616,5673349,5118453,11207656,10472957,8876320,9909860,8741405,32648326,21290283,567987,10998198,15073139,10841289,12914836,3543161
마포구,20241,골목상권,3110548,마포구청역 4번,커피-음료,110011339,18512,13779701,11299999,13928401,15705648,17950864,17603478,19743248,43896275,64473514,380683,14954300,43365330,29495277,14824205,5349993
마포구,20241,골목상권,3110548,마포구청역 4번,미용실,33589045,1008,5552850,2775953,6772951,4461472,2819646,8069708,3136465,17896888,15692157,0,1348668,4491870,10089043,12697482,4961982
마포구,20241,골목상권,3110548,마포구청역 4번,노래방,18057910,194,274483,1823789,3110810,2476448,4144661,4586919,1640800,9959091,6831583,0,548966,1427313,2708234,8672071,3434090
마포구,20241,골목상권,3110548,마포구청역 4번,반찬가게,87000000,4856,7982274,24638336,28847852,8158367,17373171,0,0,26385168,16082673,0,5937390,10057461,8950052,8957497,8565441
